Index,Question,Table,Sentence,Question_index,Label
1264,Calculate the total number of appearances made by Roberto Linck in the year 2017.,"Year,Title,Director,Writer,Producer,Appearance,Notes
2017,Lock All Doors,Yes,Yes,Yes,No,Short Film Directorial debut
2017,I'm Good at Being Bad,No,Yes,Yes,Yes,Music Video Featuring Claudia Alende
2017,FIFA FOOTBALL,No,No,No,Yes,Episode 126 Guest appearance",There are no appearances made by Roberto Linck in the year 2017.,591,FI
1265,Calculate the total number of appearances made by Roberto Linck in the year 2017.,"Year,Title,Director,Writer,Producer,Appearance,Notes
2017,Lock All Doors,Yes,Yes,Yes,No,Short Film Directorial debut
2017,I'm Good at Being Bad,No,Yes,Yes,Yes,Music Video Featuring Claudia Alende
2017,FIFA FOOTBALL,No,No,No,Yes,Episode 126 Guest appearance",Roberto Linck made three appearances in the year 2017.,591,FI
1266,Calculate the total number of appearances made by Roberto Linck in the year 2017.,"Year,Title,Director,Writer,Producer,Appearance,Notes
2017,Lock All Doors,Yes,Yes,Yes,No,Short Film Directorial debut
2017,I'm Good at Being Bad,No,Yes,Yes,Yes,Music Video Featuring Claudia Alende
2017,FIFA FOOTBALL,No,No,No,Yes,Episode 126 Guest appearance",Answer: The total number of appearances made by Roberto Linck in the year 2017 is 2.,591,FC
1267,How many goals did Neil Mellor score in the League Cup during the 2010-11 season?,"Date,Opponents,Venue,Res.,Scorers,Att.,Notes
10 August 2010,Bury,Hillsborough Stadium,1 - 0,Giles Coke,""7,390"",Round 1
24 August 2010,Scunthorpe United,Glanford Park,2 - 4,""Marcus Tudgay pen, Neil Mellor"",""4,680"",Round 2",Neil Mellor scored three goals in the League Cup during the 2010-11 season.,592,FI
1268,How many goals did Neil Mellor score in the League Cup during the 2010-11 season?,"Date,Opponents,Venue,Res.,Scorers,Att.,Notes
10 August 2010,Bury,Hillsborough Stadium,1 - 0,Giles Coke,""7,390"",Round 1
24 August 2010,Scunthorpe United,Glanford Park,2 - 4,""Marcus Tudgay pen, Neil Mellor"",""4,680"",Round 2","From the table, we can see that Neil Mellor scored a penalty goal in the match against Scunthorpe United on 24 August 2010.",592,FC
1269,How many goals did Neil Mellor score in the League Cup during the 2010-11 season?,"Date,Opponents,Venue,Res.,Scorers,Att.,Notes
10 August 2010,Bury,Hillsborough Stadium,1 - 0,Giles Coke,""7,390"",Round 1
24 August 2010,Scunthorpe United,Glanford Park,2 - 4,""Marcus Tudgay pen, Neil Mellor"",""4,680"",Round 2","Therefore, Neil Mellor scored 1 goal in the League Cup during the 2010-11 season.",592,FC
1270,How many different engine types are listed in the table?,"Model,Year,Engine,Displacement,Power,Type
L360,1955–57,Volvo ED: I6 sv,""3,670 cc (224 cu in)"",90 bhp (67 kW),Petrol engine
L370,1954–63,Volvo A6: I6 ohv,""4,703 cc (287.0 cu in)"",115 bhp (86 kW),Petrol engine
L365-475,1955–65,Volvo D47: I6 ohv,""4,703 cc (287.0 cu in)"",95 bhp (71 kW),Diesel engine
L475,1961–65,Volvo TD47: I6 ohv,""4,703 cc (287.0 cu in)"",120 bhp (89 kW),Turbo-diesel
N84,1965–72,Volvo D50: I6 ohv,""5,130 cc (313 cu in)"",107 bhp (80 kW),Diesel engine",There are 7 different engine types listed in the table.,593,FI
1271,How many different engine types are listed in the table?,"Model,Year,Engine,Displacement,Power,Type
L360,1955–57,Volvo ED: I6 sv,""3,670 cc (224 cu in)"",90 bhp (67 kW),Petrol engine
L370,1954–63,Volvo A6: I6 ohv,""4,703 cc (287.0 cu in)"",115 bhp (86 kW),Petrol engine
L365-475,1955–65,Volvo D47: I6 ohv,""4,703 cc (287.0 cu in)"",95 bhp (71 kW),Diesel engine
L475,1961–65,Volvo TD47: I6 ohv,""4,703 cc (287.0 cu in)"",120 bhp (89 kW),Turbo-diesel
N84,1965–72,Volvo D50: I6 ohv,""5,130 cc (313 cu in)"",107 bhp (80 kW),Diesel engine",There are five different engine types listed in the table.,593,FI
1272,What was the percentage of votes against all the parties in the election?,"Party,Votes,%,Seats
Bloc of Communists and Non-Party Candidates,-,99.96,285
Against,-,0.04,–
Total,-,100,285
Registered voters/turnout,-,99.99,–
Source: Liivik,Source: Liivik,Source: Liivik,Source: Liivik","According to the table, the percentage of votes against all the parties in the election is 0.04%.",594,FC
1273,"How many units of ""Nagareboshi to Koi no Ame"" were sold on the Japan Billboard Hot 100 chart?","Release,Chart,Peak position,Sales total
""July 13, 2011"",Japan Oricon Daily Singles Chart,15,""2,727""
""July 13, 2011"",Japan Oricon Weekly Singles Chart,24,""2,727""
""July 13, 2011"",Japan Billboard Hot 100,7,""2,727""","Based on the given table, the number of units of ""Nagareboshi to Koi no Ame"" sold on the Japan Billboard Hot 100 chart is 2,727.",595,FC
1274,"How many units of ""Nagareboshi to Koi no Ame"" were sold on the Japan Billboard Hot 100 chart?","Release,Chart,Peak position,Sales total
""July 13, 2011"",Japan Oricon Daily Singles Chart,15,""2,727""
""July 13, 2011"",Japan Oricon Weekly Singles Chart,24,""2,727""
""July 13, 2011"",Japan Billboard Hot 100,7,""2,727""","This information can be found in the ""Sales total"" column, which states the total sales for each chart listed.",595,FC
1275,"How many units of ""Nagareboshi to Koi no Ame"" were sold on the Japan Billboard Hot 100 chart?","Release,Chart,Peak position,Sales total
""July 13, 2011"",Japan Oricon Daily Singles Chart,15,""2,727""
""July 13, 2011"",Japan Oricon Weekly Singles Chart,24,""2,727""
""July 13, 2011"",Japan Billboard Hot 100,7,""2,727""","On the Japan Billboard Hot 100 chart, only 727 units of ""Nagareboshi to Koi no Ame"" were sold.",595,FI
1276,What was the reign start and end date of Peter I?,"Name,Lifespan,Reign start,Reign end,Notes,Family,Image
Peter I Portuguese: Pedro I,12 October 1798 – 24 September 1834 (aged 35),12 October 1822,7 April 1831,Son of John VI,Braganza,-
Peter II Portuguese: Pedro II,2 December 1825 – 5 December 1891 (aged 66),7 April 1831,15 November 1889,Son of Peter I,Braganza,-","According to the given table, the reign start and end date of Peter I, also known as Pedro I, were as follows:

- Reign start: 12 October 1822
- Reign end: 7 April 1831",596,FC
1277,What is the family name of the emperors listed in the table?,"Name,Lifespan,Reign start,Reign end,Notes,Family,Image
Peter I Portuguese: Pedro I,12 October 1798 – 24 September 1834 (aged 35),12 October 1822,7 April 1831,Son of John VI,Braganza,-
Peter II Portuguese: Pedro II,2 December 1825 – 5 December 1891 (aged 66),7 April 1831,15 November 1889,Son of Peter I,Braganza,-","The family name of the emperors listed in the table is ""Braganza.""",597,FC
1278,How many total seats were there in the Serbian parliament during each of the elections listed in the table?,"Year,Popular vote,% of popular vote,# of seats,Seat change,Coalitions,Government
2007,""214,262"",5.31%,6 / 250,6,With GSS−SDU−LSV−DHSS,opposition
2008,""216,902"",5.24%,11 / 250,5,With DHSS−SDU,opposition
2012,""255,546"",6.53%,12 / 250,1,U-Turn,opposition
2014,""120,879"",3.36%,0 / 250,12,With SDU−BDZS,non-parliamentary
2016,""189,564"",5.02%,4 / 250,4,With SDS−LSV,opposition","The total seats in the Serbian parliament during each of the elections listed in the table were:

- 2007: 250 seats
- 2008: 250 seats
- 2012: 250 seats
- 2014: 250 seats
- 2016: 250 seats

Therefore, the total number of seats in the Serbian parliament remained constant at 250 seats during each of the elections listed in the table.",598,FC
1279,How many channels have a video format of 480i?,"Channel,Video,Aspect,PSIP Short Name,Programming
19.1,480i,4:3,MeTV,Main WZMQ programming / MeTV
19.2,480i,4:3,This TV,This TV
19.3,480i,4:3,Antenna,Antenna TV
19.4,480i,4:3,Start TV,Start TV
19.5,480i,4:3,H&I,Heroes & Icons","Based on the information provided in the table, none of the channels listed have a video format of 480i.",599,FI
1280,How many channels have a video format of 480i?,"Channel,Video,Aspect,PSIP Short Name,Programming
19.1,480i,4:3,MeTV,Main WZMQ programming / MeTV
19.2,480i,4:3,This TV,This TV
19.3,480i,4:3,Antenna,Antenna TV
19.4,480i,4:3,Start TV,Start TV
19.5,480i,4:3,H&I,Heroes & Icons","Therefore, the answer to the question is 5.",599,FC
1281,What is the total population of all the Gminas combined?,"Gmina,Type,Area (km²),Population (2006),Seat
Gmina Nowy Dwór Gdański,urban-rural,213.0,""17,887"",Nowy Dwór Gdański
Gmina Stegna,rural,169.6,""9,519"",Stegna
Gmina Sztutowo,rural,107.5,""3,517"",Sztutowo
Gmina Ostaszewo,rural,60.7,""3,204"",Ostaszewo
Krynica Morska,urban,102.0,""1,371"",-","To find the total population of all the Gminas combined, we need to add up the population values for each Gmina in the table.",600,FC
1282,What is the total population of all the Gminas combined?,"Gmina,Type,Area (km²),Population (2006),Seat
Gmina Nowy Dwór Gdański,urban-rural,213.0,""17,887"",Nowy Dwór Gdański
Gmina Stegna,rural,169.6,""9,519"",Stegna
Gmina Sztutowo,rural,107.5,""3,517"",Sztutowo
Gmina Ostaszewo,rural,60.7,""3,204"",Ostaszewo
Krynica Morska,urban,102.0,""1,371"",-","- Gmina Nowy Dwór Gdański: 17,887
- Gmina Stegna: 9,519
- Gmina Sztutowo: 3,517
- Gmina Ostaszewo: 3,204
- Krynica Morska: 1,371

Adding up these population values, we get:

17,887 + 9,519 + 3,517 + 3,204 + 1,371 = 35,498

Therefore, the total population of all the Gminas combined is 35,498.",600,FC
1283,In which competition did Lars Bender score his first international goal?,"Goal,Date,Venue,Opponent,Score,Result,Competition
1.,17 June 2012,""Arena Lviv, Lviv, Ukraine"",Denmark,2 – 1,2–1,UEFA Euro 2012
2.,29 May 2013,""FAU Stadium, Boca Raton, United States"",Ecuador,2 – 0,4–2,Friendly
3.,29 May 2013,""FAU Stadium, Boca Raton, United States"",Ecuador,3 – 0,4–2,Friendly
4.,14 August 2013,""Fritz-Walter-Stadion, Kaiserslautern, Germany"",Paraguay,3 – 3,3–3,Friendly","According to the table, Lars Bender scored his first international goal in the UEFA Euro 2012 competition.",601,FC
1284,How many orbits were completed for the observation using the F775W filter?,"Camera,Filter,Wavelength,Total exposure time,Exposures
ACS,F435W,435 nm,""134,880 s (56 orbits)"",112
ACS,F606W,606 nm,""135,320 s (56 orbits)"",112
ACS,F775W,775 nm,""347,110 s (144 orbits)"",288
ACS,F850LP,850 nm,""346,620 s (144 orbits)"",288",The total number of orbits completed for the observation using the F775W filter was 10 orbits.,602,FI
1285,How many orbits were completed for the observation using the F775W filter?,"Camera,Filter,Wavelength,Total exposure time,Exposures
ACS,F435W,435 nm,""134,880 s (56 orbits)"",112
ACS,F606W,606 nm,""135,320 s (56 orbits)"",112
ACS,F775W,775 nm,""347,110 s (144 orbits)"",288
ACS,F850LP,850 nm,""346,620 s (144 orbits)"",288","According to the table, the total exposure time for the F775W filter observation is given as ""135,320 s (56 orbits)"".",602,FI
1286,How many orbits were completed for the observation using the F775W filter?,"Camera,Filter,Wavelength,Total exposure time,Exposures
ACS,F435W,435 nm,""134,880 s (56 orbits)"",112
ACS,F606W,606 nm,""135,320 s (56 orbits)"",112
ACS,F775W,775 nm,""347,110 s (144 orbits)"",288
ACS,F850LP,850 nm,""346,620 s (144 orbits)"",288","This means that the observation lasted for a total of 347,110 seconds, which is equivalent to 144 orbits.",602,FC
1287,How many orbits were completed for the observation using the F775W filter?,"Camera,Filter,Wavelength,Total exposure time,Exposures
ACS,F435W,435 nm,""134,880 s (56 orbits)"",112
ACS,F606W,606 nm,""135,320 s (56 orbits)"",112
ACS,F775W,775 nm,""347,110 s (144 orbits)"",288
ACS,F850LP,850 nm,""346,620 s (144 orbits)"",288","Therefore, the number of orbits completed for the observation using the F775W filter is 144.",602,FC
1288,What are the events in which Nikolay Kolesnikov won a medal?,"Year,Competition,Venue,Position,Event,Notes
Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union
1976,Olympic Games,""Montreal, Canada"",3rd,4 × 100 m relay,-
1978,European Indoor Championships,""Milan, Italy"",1st,60 metres,-","To determine the events in which Nikolay Kolesnikov won a medal, we need to examine the ""Event"" column in the table.",603,FC
1289,What are the events in which Nikolay Kolesnikov won a medal?,"Year,Competition,Venue,Position,Event,Notes
Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union
1976,Olympic Games,""Montreal, Canada"",3rd,4 × 100 m relay,-
1978,European Indoor Championships,""Milan, Italy"",1st,60 metres,-","Nikolay Kolesnikov won a medal in the ""60 metres"" event at the 1976 Olympic Games, where he achieved 1st position.",603,FI
1290,What are the events in which Nikolay Kolesnikov won a medal?,"Year,Competition,Venue,Position,Event,Notes
Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union
1976,Olympic Games,""Montreal, Canada"",3rd,4 × 100 m relay,-
1978,European Indoor Championships,""Milan, Italy"",1st,60 metres,-","He won a medal in the ""60 metres"" event at the 1978 Olympic Games, where he achieved 2nd position.",603,FI
1291,What are the events in which Nikolay Kolesnikov won a medal?,"Year,Competition,Venue,Position,Event,Notes
Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union,Representing Soviet Union
1976,Olympic Games,""Montreal, Canada"",3rd,4 × 100 m relay,-
1978,European Indoor Championships,""Milan, Italy"",1st,60 metres,-",Nikolay Kolesnikov did not win a medal in the Olympic Games.,603,FI
1292,Which team played the most number of matches at Eureka Stadium according to the table?,"No.,Date,Teams,Sport,Competition,Crowd
1,19 August 2017,Western Bulldogs v. Port Adelaide,Australian Rules Football,AFL,""10,087""
2,11 March 2012,North Melbourne Kangaroos v. Western Bulldogs,Australian Rules Football,AFL (pre-season),""8,000""
3,15 February 2014,North Melbourne Kangaroos v. Carlton Football Club,Australian Rules Football,AFL (pre-season),""7,800""
4,12 March 2011,North Melbourne Kangaroos v. Western Bulldogs,Australian Rules Football,AFL (pre-season),""7,000""
5,5 May 2018,Western Bulldogs v. Gold Coast Suns,Australian Rules Football,AFL,""6,833""",The Melbourne Stars played the most number of matches at Eureka Stadium.,604,FI
1294,In which venue did Velizar Dimitrov score his first international goal?,"#,Date,Venue,Opponent,Score,Result,Competition
1.,20 August 2003,""Vasil Levski, Sofia, Bulgaria"",Lithuania,2–0,3–0,Friendly
2.,20 August 2003,""Vasil Levski, Sofia, Bulgaria"",Lithuania,-,3–0,Friendly
3.,17 November 2007,""Vasil Levski, Sofia, Bulgaria"",Romania,1–0,1–0,Euro 2008 qualifier","This occurred on 20 August 2003 in a friendly match against Lithuania, with the final score being 3-0.",605,FC
1295,How many elections are listed in the table?,"Election,Political result,Political result,Candidate,Candidate,Party,Votes,%
""Iowa's 47th Senate District election, 2010"",-,Republican gain from Democratic,-,Mark Chelgren,Republican,""9,583"",50.0
""Iowa's 47th Senate District election, 2010"",-,Republican gain from Democratic,Keith Kreiman,Democratic,""9,572"",50.0,-
""Iowa's 41st Senate District election, 2014"",-,Republican hold,-,Mark Chelgren,Republican,""10,356"",50.8
""Iowa's 41st Senate District election, 2014"",-,Republican hold,Steve Siegel,Democratic,""9,982"",49.0,-","To determine the number of elections listed in the table, we need to count the distinct occurrences of the ""Election"" column.",606,FC
1296,How many elections are listed in the table?,"Election,Political result,Political result,Candidate,Candidate,Party,Votes,%
""Iowa's 47th Senate District election, 2010"",-,Republican gain from Democratic,-,Mark Chelgren,Republican,""9,583"",50.0
""Iowa's 47th Senate District election, 2010"",-,Republican gain from Democratic,Keith Kreiman,Democratic,""9,572"",50.0,-
""Iowa's 41st Senate District election, 2014"",-,Republican hold,-,Mark Chelgren,Republican,""10,356"",50.8
""Iowa's 41st Senate District election, 2014"",-,Republican hold,Steve Siegel,Democratic,""9,982"",49.0,-","From the provided table, we can see that there are five different elections listed.",606,FI
1297,Which city is the translator W287BG licensed in?,"Call sign,Frequency (MHz),City of license,ERP W,Class,FCC info
W212CC,90.3,""Newburgh, New York"",10,D,FCC
W266BX,101.1,""Jefferson Heights, New York"",10,D,FCC
W287BG,105.3,""Rhinebeck, New York"",10,D,FCC","The translator W287BG is licensed in the city of Rhinebeck, New York.",607,FC
1298,Which city is the translator W287BG licensed in?,"Call sign,Frequency (MHz),City of license,ERP W,Class,FCC info
W212CC,90.3,""Newburgh, New York"",10,D,FCC
W266BX,101.1,""Jefferson Heights, New York"",10,D,FCC
W287BG,105.3,""Rhinebeck, New York"",10,D,FCC","This information can be found in the ""City of license"" column of the table provided.",607,FC
1299,What is the total number of votes cast in the election?,"Party,Party,Candidate,Votes,%
-,Republican,Jerry Patterson,""2,331,700"",53.2
-,Democratic,David Bernsen,""1,819,365"",41.5
-,Libertarian,Barbara Hernandez,""180,870"",4.1
-,Green,Michael McInerney,""54,130"",1.2",We do not need to add the number of votes for each candidate to find the total number of votes cast in the election.,608,FI
1300,What is the total number of votes cast in the election?,"Party,Party,Candidate,Votes,%
-,Republican,Jerry Patterson,""2,331,700"",53.2
-,Democratic,David Bernsen,""1,819,365"",41.5
-,Libertarian,Barbara Hernandez,""180,870"",4.1
-,Green,Michael McInerney,""54,130"",1.2","For Jerry Patterson: 2,331,700
For David Bernsen: 1,819,365
For Barbara Hernandez: 180,870
For Michael McInerney: 54,130

Adding these numbers together, we get:

2,331,700 + 1,819,365 + 180,870 + 54,130 = 4,386,065

Therefore, the total number of votes cast in the election was 4,386,065.",608,FC
1301,What is the quantity for CR nos. 294-324?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692",The quantity for CR nos.,609,FI
1302,What is the quantity for CR nos. 294-324?,"CR nos.,Quantity,LMS nos.,BR nos. (Note 1)
294-324,31,17650-17680,57650-57680
280-281,2,17681-17682,57681-57682
670-679,10,17683-17692,57683-57692",294-324 is 31.,609,FC
1304,When was Gellmersbach incorporated?,"Part,Incorporation,Inhabitants,Surface
Weinsberg,–,9040,13.95 km2
Gellmersbach,""January 1, 1975"",921,3.36 km2
Grantschen,""January 1, 1973"",819,2.10 km2
Wimmental,""January 1, 1975"",610,2.79 km2",Gellmersbach was incorporated in 1980.,610,FI
1305,When was Gellmersbach incorporated?,"Part,Incorporation,Inhabitants,Surface
Weinsberg,–,9040,13.95 km2
Gellmersbach,""January 1, 1975"",921,3.36 km2
Grantschen,""January 1, 1973"",819,2.10 km2
Wimmental,""January 1, 1975"",610,2.79 km2","This information is provided in the ""Incorporation"" column of the table.",610,FC
1306,What is the deadweight tonnage of the largest facility at the shipyard?,"Building Ways,Length,Width,Deadweight tonnage
2 open sloping slips,up to 259 metres (850 ft),up to 35 metres (115 ft),""70,000""
2 covered berths,up to 100 metres (330 ft),up to 10 metres (33 ft),""10,000""
5 covered berths,up to 120 metres (390 ft),up to 20 metres (66 ft),""10,000""
Floating dry dock “Luga”,92 metres (302 ft),27 metres (89 ft),""6,000""
Floating dry dock “SPD-2M”,92 metres,22 metres (72 ft),""2,000""","The largest facility at Admiralty Shipyard is the ""2 open sloping slips"" which has a length of up to 259 metres (850 ft) and a width of up to 35 metres (115 ft).",611,FC
1307,What is the deadweight tonnage of the largest facility at the shipyard?,"Building Ways,Length,Width,Deadweight tonnage
2 open sloping slips,up to 259 metres (850 ft),up to 35 metres (115 ft),""70,000""
2 covered berths,up to 100 metres (330 ft),up to 10 metres (33 ft),""10,000""
5 covered berths,up to 120 metres (390 ft),up to 20 metres (66 ft),""10,000""
Floating dry dock “Luga”,92 metres (302 ft),27 metres (89 ft),""6,000""
Floating dry dock “SPD-2M”,92 metres,22 metres (72 ft),""2,000""","The largest facility at the shipyard has a deadweight tonnage of 20,000.",611,FI
1308,What is the deadweight tonnage of the largest facility at the shipyard?,"Building Ways,Length,Width,Deadweight tonnage
2 open sloping slips,up to 259 metres (850 ft),up to 35 metres (115 ft),""70,000""
2 covered berths,up to 100 metres (330 ft),up to 10 metres (33 ft),""10,000""
5 covered berths,up to 120 metres (390 ft),up to 20 metres (66 ft),""10,000""
Floating dry dock “Luga”,92 metres (302 ft),27 metres (89 ft),""6,000""
Floating dry dock “SPD-2M”,92 metres,22 metres (72 ft),""2,000""","The deadweight tonnage of the largest facility at the shipyard is 100,000.",611,FI
1309,Which event did Tye Hill achieve a time of 10.27 seconds?,"Event,Time (seconds),Venue,Date
60 meters,6.71,""Champaign, Illinois"",""February 7, 2004""
100 meters,10.27,""Austin, Texas"",""June 10, 2004""
200 meters,20.97,""Gainesville, Florida"",""May 29, 2004""",Tye Hill achieved a time of 10.27 seconds in the 400 meters event.,612,FI
1310,Which event did Tye Hill achieve a time of 10.27 seconds?,"Event,Time (seconds),Venue,Date
60 meters,6.71,""Champaign, Illinois"",""February 7, 2004""
100 meters,10.27,""Austin, Texas"",""June 10, 2004""
200 meters,20.97,""Gainesville, Florida"",""May 29, 2004""",Tye Hill achieved a time of 10.27 seconds in the 200 meters event.,612,FI
1311,Which event did Tye Hill achieve a time of 10.27 seconds?,"Event,Time (seconds),Venue,Date
60 meters,6.71,""Champaign, Illinois"",""February 7, 2004""
100 meters,10.27,""Austin, Texas"",""June 10, 2004""
200 meters,20.97,""Gainesville, Florida"",""May 29, 2004""","Therefore, the event in which Tye Hill achieved a time of 10.27 seconds is the 100 meters event.",612,FC
1312,Which model has a wheelbase of 2540 mm?,"Model,Period,Cylinders,Capacity,Wheelbase
8 hp,1922,2 V,974 cm³,-
9 hp,1922–1923,4 Inline,1074 cm³,2489 mm
10 hp,1922,2 V,1081 cm³,-
11 hp,1922–1923,4 Inline,1320 cm³,2489 mm
11 hp,1923–1927,4 Inline,1261 cm³,2540 mm","The model that has a wheelbase of 2540 mm is the ""8 hp"" model.",613,FI
1313,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)","To determine the number of different events listed in the table, we need to identify the unique event names in the table.",614,FC
1314,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)",The table shows a comparison of marathon timings of the athlete in different countries.,614,FI
1315,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)",A majority of the listed events are decathlon events.,614,FI
1316,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)","Let's go through the table and extract the event names:

1. 60 metres
2. 100 metres
3. Long Jump
4. Long Jump Indoor
5. Long Jump Juniors Mauritius

Now, we have a list of unique event names.",614,FC
1317,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)",There are eight distinct sports events in the table.,614,FI
1318,How many different events are listed in the table?,"Date,Event,Venue,Time/Mark
23 February 2003,60 metres,""Moscow, Russia"",6.68 (National record)
27 March 2002,100 metres,""Bamako, Mali"",10.36
24 August 2004,Long Jump,""Athens, Greece"",8.28m (National record)
22 February 2004,Long Jump Indoor,""Aubiere, France"",8.05m (National record)
Unknown,Long Jump Juniors Mauritius,Unknown,7.89 (National record)","Therefore, the answer to the question ""How many different events are listed in the table?"" is: There are 5 different events listed in the table.",614,FC
1319,What was the percentage of votes received by the Liberal Party?,"Party,Votes,%,Seats
People's Radical Party,""158,635"",87.88,102
Liberal Party,""21,874"",12.12,15
Total,""180,509"",100,117
Registered voters/turnout,""254,000"",71.07,–
Source: The Times,Source: The Times,Source: The Times,Source: The Times","According to the table, the Liberal Party received ""21,874"" votes.",615,FC
1320,What was the percentage of votes received by the Liberal Party?,"Party,Votes,%,Seats
People's Radical Party,""158,635"",87.88,102
Liberal Party,""21,874"",12.12,15
Total,""180,509"",100,117
Registered voters/turnout,""254,000"",71.07,–
Source: The Times,Source: The Times,Source: The Times,Source: The Times","To find the percentage of votes received by the Liberal Party, we need to divide the number of votes they received by the total number of votes and then multiply by 100.",615,FC
1321,What was the percentage of votes received by the Liberal Party?,"Party,Votes,%,Seats
People's Radical Party,""158,635"",87.88,102
Liberal Party,""21,874"",12.12,15
Total,""180,509"",100,117
Registered voters/turnout,""254,000"",71.07,–
Source: The Times,Source: The Times,Source: The Times,Source: The Times",The percentage of votes received by the Liberal Party is approximately 47.45%.,615,FI
1322,What was the total number of delegates who did not vote in the convention?,"Candidate,Votes,Percentage
Barack Obama,""3,188.5"",72.15%
Hillary Clinton,""1,010.5"",22.87%
Abstentions,1.0,0.00%
Delegates who did not vote,219.0,4.96%
Totals,""4,419.0"",100.00%","According to the table provided, the total number of delegates who did not vote in the 2008 Democratic National Convention was 219.0.",616,FC
1323,Which player had the highest number of penalty minutes?,"Player,GP,G,A,Pts,PIM
Marc Tardif,81,71,77,148,79
Real Cloutier,80,60,54,114,27
Chris Bordeleau,74,37,72,109,42
Rejean Houle,81,51,52,103,61
Serge Bernier,70,34,68,102,91",Serge Bernier had the lowest number of penalty minutes.,617,FI
1324,Which player had the highest number of penalty minutes?,"Player,GP,G,A,Pts,PIM
Marc Tardif,81,71,77,148,79
Real Cloutier,80,60,54,114,27
Chris Bordeleau,74,37,72,109,42
Rejean Houle,81,51,52,103,61
Serge Bernier,70,34,68,102,91","Serge Bernier had the lowest number of penalty minutes, with 79.",617,FI
1325,Which event did Kim Robertson participate in during March 1978?,"Event,Time,Date,Place
100m,11.62,March 1978,""Wellington, New Zealand""
200m,23.13,15/07/1978,""Mt. Sac Relays, California, US""
400m,51.60,19/01/1980,""Christchurch, New Zealand""
800m,2:5.4,February 1985,""Auckland, New Zealand""",Kim Robertson participated in the 200m event during March 1978.,618,FI
1326,Which event did Kim Robertson participate in during March 1978?,"Event,Time,Date,Place
100m,11.62,March 1978,""Wellington, New Zealand""
200m,23.13,15/07/1978,""Mt. Sac Relays, California, US""
400m,51.60,19/01/1980,""Christchurch, New Zealand""
800m,2:5.4,February 1985,""Auckland, New Zealand""",Kim Robertson participated in the race 800m during March 1978.,618,FI
1327,Which event did Kim Robertson participate in during March 1978?,"Event,Time,Date,Place
100m,11.62,March 1978,""Wellington, New Zealand""
200m,23.13,15/07/1978,""Mt. Sac Relays, California, US""
400m,51.60,19/01/1980,""Christchurch, New Zealand""
800m,2:5.4,February 1985,""Auckland, New Zealand""",Kim Robertson participated in the 200m event during March 1978.,618,FI
1328,Which event did Kim Robertson participate in during March 1978?,"Event,Time,Date,Place
100m,11.62,March 1978,""Wellington, New Zealand""
200m,23.13,15/07/1978,""Mt. Sac Relays, California, US""
400m,51.60,19/01/1980,""Christchurch, New Zealand""
800m,2:5.4,February 1985,""Auckland, New Zealand""","2. Therefore, the event that Kim Robertson participated in during March 1978 is the ""100m"" event.",618,FC
